Timeline ,,latitude,longitude,,,Angle X
,,,,,,
14:17:05,,30.36059869,77.84051645,,,1.64
14:17:06,,30.36058342,77.84050863,,,-0.45
14:17:07,,30.36056424,77.84049282,,,-0.37
14:17:08,,30.36054705,77.84048102,,,1.02
14:17:09,,30.36053939,77.84046501,,,-1.56
14:17:10,,30.3605209,77.84044925,,,1.28
14:17:11,,30.36050881,77.84043538,,,0.23
14:17:12,,30.36049928,77.84041537,,,0.65
14:17:13,,30.36048528,77.8403975,,,0.89
14:17:14,,30.36047891,77.84039564,,,-1.35
14:17:15,,30.36046162,77.84035962,,,1.81
14:17:16,,30.36044487,77.84034793,,,-0.09
14:17:17,,30.36043253,77.84033409,,,-0.54
14:17:18,,30.36041382,77.84031844,,,0.12
14:17:19,,30.36039514,77.8403028,,,-1.69
14:17:20,,30.36038284,77.840289,,,0.61
14:17:21,,30.36036415,77.8402734,,,-1.78
14:17:22,,30.36034744,77.84026181,,,-0.71
14:17:23,,30.36033511,77.84024804,,,0.36
14:17:24,,30.36031209,77.84023468,,,-0.99
14:17:25,,30.36029979,77.84022094,,,-1.12
14:17:26,,30.3602875,77.84020721,,,0.32
14:17:27,,30.36027956,77.84019127,,,-1.62
14:17:28,,30.36025662,77.840178,,,0.27
14:17:29,,30.36025265,77.84017004,,,0.96
14:17:30,,30.3602321,77.8401506,,,-0.89
14:17:31,,30.36021157,77.84013118,,,1.79
14:17:32,,30.36019302,77.84011577,,,-1.13
14:17:33,,30.36017878,77.84009814,,,-1.15
14:17:34,,30.36016653,77.84008449,,,0.72
14:17:35,,30.36015,77.8400731,,,1.03
14:17:36,,30.36013777,77.84005947,,,-0.5
14:17:37,,30.36012128,77.84004811,,,1.03
14:17:38,,30.36010481,77.84003676,,,0.94
14:17:39,,30.36008836,77.84002542,,,1.9
14:17:40,,30.36007598,77.84001186,,,-0.15
14:17:41,,30.36005937,77.84000058,,,-0.12
14:17:42,,30.36004697,77.83998705,,,-1.71
14:17:43,,30.3600283,77.83997187,,,1.16
14:17:44,,30.36001994,77.83995612,,,-1.47
14:17:45,,30.36000733,77.83994266,,,-1.94
14:17:46,,30.35999682,77.83993315,,,0.13
14:17:47,,30.35998214,77.83991578,,,-0.02
14:17:48,,30.3599738,77.83990006,,,1.62
14:17:49,,30.35996332,77.83989057,,,-1.03
14:17:50,,30.35994867,77.83987324,,,-0.44
14:17:51,,30.35993612,77.83985985,,,-0.08
14:17:52,,30.35992773,77.83984417,,,-0.29
14:17:53,,30.35991506,77.83983083,,,1.99
14:17:54,,30.35990241,77.8398175,,,-1.43
14:17:55,,30.35989183,77.83979794,,,-1.47
14:17:56,,30.35987503,77.83978697,,,0.16
14:17:57,,30.35986241,77.83977368,,,0.29
14:17:58,,30.35984984,77.8397604,,,1.11
14:17:59,,30.35983729,77.83974713,,,0.19
14:18:00,,30.35982475,77.83973387,,,0.11
14:18:01,,30.35981222,77.83972062,,,-0.17
14:18:02,,30.3597976,77.8397035,,,0.43
14:18:03,,30.3597892,77.83968793,,,-0.12
14:18:04,,30.3597747,77.83968097,,,1.72
14:18:05,,30.35975773,77.83966008,,,1.39
14:18:06,,30.35974506,77.83964695,,,-1.63
14:18:07,,30.35972836,77.8396362,,,-1.21
14:18:08,,30.35971761,77.83961689,,,-0.45
14:18:09,,30.35970687,77.83959758,,,-1.11
14:18:10,,30.35969238,77.83959075,,,0.49
14:18:11,,30.35967962,77.83956758,,,0.65
14:18:12,,30.35966114,77.839553,,,-0.31
